model_code,model_name,capacity_kw,form,list_price,sale_price,monthly_fee,buy_url,sub_url
FQ18GV3EK2,LG 휘센 타워에어컨,7.2,스탠드,3774000,3400000,71900,https://www.lge.co.kr/air-conditioners/fq18gv3ek2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18gv3ek2?subscCategoryKeyId=254058
FQ18GV3EA2,LG 휘센 타워에어컨,7.2,스탠드,3774000,3400000,,https://www.lge.co.kr/air-conditioners/fq18gv3ea2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18gv3ea2?subscCategoryKeyId=252786
FQ18GV3BK2,LG 휘센 타워에어컨,7.2,스탠드,3885000,3500000,72900,https://www.lge.co.kr/air-conditioners/fq18gv3bk2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18gv3bk2?subscCategoryKeyId=254054
FQ18GV3BA2,LG 휘센 타워에어컨,7.2,스탠드,3885000,3500000,,https://www.lge.co.kr/air-conditioners/fq18gv3ba2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18gv3ba2?subscCategoryKeyId=252793
FQ18GV4EK2,LG 휘센 타워에어컨,7.2,스탠드,3941000,3550000,83900,https://www.lge.co.kr/air-conditioners/fq18gv4ek2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18gv4ek2?subscCategoryKeyId=254062
FQ18GV4EA2,LG 휘센 타워에어컨,7.2,스탠드,3941000,3550000,,https://www.lge.co.kr/air-conditioners/fq18gv4ea2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18gv4ea2?subscCategoryKeyId=252770
FQ18FV4EK2,LG 휘센 타워에어컨,7.2,스탠드,4107000,3700000,,https://www.lge.co.kr/air-conditioners/fq18fv4ek2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18fv4ek2?subscCategoryKeyId=245692
FQ18FV4EA2,LG 휘센 타워에어컨,7.2,스탠드,4107000,3700000,,https://www.lge.co.kr/air-conditioners/fq18fv4ea2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18fv4ea2?subscCategoryKeyId=242254
FQ18FN5HK1,LG 휘센 타워에어컨,7.2,스탠드,4269000,3846000,,https://www.lge.co.kr/air-conditioners/fq18fn5hk1,https://www.lge.co.kr/care-solutions/air-conditioners/fq18fn5hk1?subscCategoryKeyId=245684
FQ18FV4EP2,LG 휘센 타워에어컨,7.2,스탠드,4274000,3850000,,https://www.lge.co.kr/air-conditioners/fq18fv4ep2,https://www.lge.co.kr/care-solutions/air-conditioners/fq18fv4ep2?subscCategoryKeyId=245698
